업종명,업소명,소재지(도로명),소재지(지번),위도,경도,데이터기준일자
일반음식점,골목국수,제주특별자치도 서귀포시 표선면 표선동서로 226,제주특별자치도 서귀포시 표선면 표선리 662번지 1호 ,33.3240312,126.8320514,2018-02-23
일반음식점,백미자연밥상,제주특별자치도 서귀포시 표선면 서성일로27번길 18,제주특별자치도 서귀포시 표선면 성읍리 1631번지 6호 ,33.3945325,126.7990879,2018-02-23
일반음식점,주구장창,제주특별자치도 서귀포시 중앙로89번길 2 (서귀동),제주특별자치도 서귀포시 서귀동 301번지 20호 ,33.2525798,126.5603888,2018-02-23
일반음식점,서양국수공방,제주특별자치도 서귀포시 태평로371번길 32 (서귀동),제주특별자치도 서귀포시 서귀동 510번지 외1필지 ,33.2457678,126.5640243,2018-02-23
일반음식점,홍삼흑돼지,제주특별자치도 서귀포시 표선면 표선당포로 16-6,제주특별자치도 서귀포시 표선면 표선리 40번지 33호 ,33.325432,126.844456,2018-02-23
일반음식점,쇠소깍민박음식점,제주특별자치도 서귀포시 쇠소깍로 140 (하효동),제주특별자치도 서귀포시 하효동 996번지 4호 ,33.2516908,126.6223908,2018-02-23
일반음식점,자구리국수,제주특별자치도 서귀포시 소암로12번길 21 (서귀동),제주특별자치도 서귀포시 서귀동 30번지 1호 외1필지 ,33.2430913,126.5671904,2018-02-23
일반음식점,오라방횟집,제주특별자치도 서귀포시 동홍로8번길 6 (서귀동),제주특별자치도 서귀포시 서귀동 251번지 4호 ,33.2490153,126.5684801,2018-02-23
일반음식점,물항아리,제주특별자치도 서귀포시 남원읍 위미중앙로 178,제주특별자치도 서귀포시 남원읍 위미리 2814번지 ,33.2742632,126.6627351,2018-02-23
일반음식점,바농,제주특별자치도 서귀포시 이중섭로 19 (서귀동),제주특별자치도 서귀포시 서귀동 528번지 5호 ,33.2462145,126.5642981,2018-02-23
일반음식점,제주삼다국수,제주특별자치도 서귀포시 김정문화로 59-1 (서호동),제주특별자치도 서귀포시 서호동 1476번지 7호 ,33.2510739,126.5112127,2018-02-23
일반음식점,김영희동태탕&코다리냉면서귀포점,제주특별자치도 서귀포시 부두로 49 (서귀동),제주특별자치도 서귀포시 서귀동 780번지 ,33.2405659,126.564767,2018-02-23
일반음식점,맨날술이야,제주특별자치도 서귀포시 대정읍 하모상가로 34,제주특별자치도 서귀포시 대정읍 하모리 923번지 5호 외2필지 ,33.2213796,126.2524689,2018-02-23
일반음식점,아바이순대,제주특별자치도 서귀포시 성산읍 일주동로 4257,제주특별자치도 서귀포시 성산읍 고성리 1123번지 11호 ,33.416346,126.889907,2018-02-23
일반음식점,부가부가부가네얼큰이모슬포점,제주특별자치도 서귀포시 대정읍 신영로 54-1,제주특별자치도 서귀포시 대정읍 하모리 1082번지 5호 ,33.2210158,126.2490416,2018-02-23
일반음식점,안동본가국밥,제주특별자치도 서귀포시 월드컵로 18-1 (강정동),제주특별자치도 서귀포시 강정동 235번지 1호 ,33.2482774,126.5067255,2018-02-23
일반음식점,옛날엄마손맛집,제주특별자치도 서귀포시 표선면 한마음초등로 479,제주특별자치도 서귀포시 표선면 하천리 1562번지 7호 외1필지 ,33.3533228,126.8224381,2018-02-23
